,id,host_is_superhost,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,bedrooms,beds,price,availability_365,number_of_reviews,calculated_host_listings_count,reviews_per_month,bathrooms
8499,28069969,0,0,Palomeras Bajas,Puente de Vallecas,Private room in apartment,Private room,1.0,1.0,24.0,88,7,2,0.23,1.0
8500,28073366,1,1,Comillas,Carabanchel,Private room in house,Private room,1.0,3.0,33.0,104,64,2,2.01,1.0
8501,28074419,0,0,Pueblo Nuevo,Ciudad Lineal,Private room in apartment,Private room,1.0,1.0,25.0,364,13,1,0.41,1.0
8502,28089333,0,1,Sol,Centro,Entire apartment,Entire home/apt,3.0,4.0,190.0,349,43,14,1.44,2.0
8503,28093510,0,1,Jerónimos,Retiro,Entire apartment,Entire home/apt,3.0,4.0,194.0,0,34,8,1.09,2.5
8504,28097054,1,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,2.0,147.0,350,53,1,1.66,2.0
8505,28097933,0,1,Pueblo Nuevo,Ciudad Lineal,Private room in house,Private room,1.0,1.0,33.0,0,23,1,0.77,1.0
8506,28098438,0,1,Castillejos,Tetuán,Entire apartment,Entire home/apt,1.0,2.0,80.0,0,7,1,0.22,1.0
8507,28114384,1,1,Berruguete,Tetuán,Entire apartment,Entire home/apt,2.0,3.0,129.0,157,130,8,4.09,2.0
8509,28120654,0,1,Palacio,Centro,Room in hostel,Hotel room,1.0,1.0,29.0,277,39,12,1.25,1.0
8511,28120823,0,1,Palacio,Centro,Room in hostel,Hotel room,1.0,1.0,34.0,276,2,12,0.13,1.0
8512,28121571,0,1,Palacio,Centro,Room in hostel,Hotel room,1.0,1.0,47.0,276,11,12,0.68,1.0
8513,28128505,0,1,Arapiles,Chamberí,Private room in apartment,Private room,1.0,1.0,21.0,89,1,1,0.05,1.5
8514,28129951,0,1,Palacio,Centro,Room in hostel,Hotel room,1.0,0.0,57.0,276,2,12,0.09,1.0
8515,28130028,0,1,Palacio,Centro,Room in hostel,Hotel room,1.0,1.0,52.0,276,6,12,0.19,1.0
8516,28130214,0,1,Palacio,Centro,Room in hostel,Hotel room,1.0,2.0,57.0,276,8,12,0.44,1.0
8517,28130390,0,1,Palacio,Centro,Room in hostel,Hotel room,1.0,0.0,62.0,276,1,12,0.07,1.0
8518,28130734,0,1,Palacio,Centro,Room in hostel,Hotel room,1.0,1.0,40.0,277,5,12,0.33,1.0
8519,28130778,0,1,Palacio,Centro,Room in hostel,Hotel room,1.0,2.0,73.0,276,1,12,0.1,1.0
8520,28130815,0,1,Palacio,Centro,Room in hostel,Hotel room,1.0,1.0,49.0,1,8,12,0.26,1.0
8521,28141817,1,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,2.0,116.0,265,36,12,1.15,1.0
8522,28146754,0,1,Numancia,Puente de Vallecas,Entire apartment,Entire home/apt,1.0,1.0,52.0,0,22,1,0.69,1.0
8523,28153809,0,1,Rios Rosas,Chamberí,Private room in apartment,Private room,1.0,1.0,35.0,0,12,2,0.38,1.0
8524,28156988,0,0,Bellas Vistas,Tetuán,Private room in apartment,Private room,1.0,1.0,25.0,0,7,1,0.22,1.0
8525,28159325,1,1,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,26.0,110,39,3,1.24,1.0
8526,28167482,0,1,Sol,Centro,Shared room in bed and breakfast,Shared room,1.0,4.0,21.0,180,27,10,0.85,4.0
8527,28169958,0,1,Almagro,Chamberí,Entire apartment,Entire home/apt,2.0,0.0,169.0,119,6,72,0.24,1.0
8528,28170391,1,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,1.0,79.0,2,9,14,0.29,1.5
8531,28172498,0,1,Cortes,Centro,Private room in apartment,Private room,1.0,1.0,32.0,365,55,2,1.75,1.0
8532,28175961,1,1,Casa de Campo,Moncloa - Aravaca,Private room in apartment,Private room,1.0,1.0,21.0,348,69,3,2.19,1.0
8533,28177193,0,1,Pueblo Nuevo,Ciudad Lineal,Entire apartment,Entire home/apt,1.0,2.0,40.0,125,62,4,1.97,1.0
8537,28178540,0,1,Cortes,Centro,Room in serviced apartment,Hotel room,1.0,2.0,208.0,274,0,4,0.0,1.0
8538,28178892,0,1,Lucero,Latina,Entire apartment,Entire home/apt,3.0,4.0,53.0,344,8,8,0.26,1.0
8539,28195509,0,1,Sol,Centro,Entire apartment,Entire home/apt,1.0,1.0,55.0,258,3,1,0.09,2.0
8540,28202580,0,1,Sol,Centro,Shared room in bed and breakfast,Shared room,1.0,6.0,21.0,180,18,10,0.57,4.0
8541,28204467,0,0,Media Legua,Moratalaz,Private room in apartment,Private room,1.0,1.0,30.0,89,3,1,0.1,1.0
8542,28209067,0,1,Comillas,Carabanchel,Private room in apartment,Private room,1.0,1.0,59.0,365,32,1,1.03,1.0
8543,28212304,1,1,Hispanoamérica,Chamartín,Private room in apartment,Private room,1.0,1.0,25.0,363,8,1,0.26,1.0
8544,28212544,0,1,Cortes,Centro,Entire loft,Entire home/apt,1.0,3.0,70.0,223,8,2,0.27,1.0
8546,28214328,0,1,Universidad,Centro,Entire apartment,Entire home/apt,2.0,5.0,112.0,213,85,28,2.7,1.0
8547,28216620,0,0,Ibiza,Retiro,Private room in bed and breakfast,Private room,1.0,1.0,49.0,0,4,1,0.13,1.0
8548,28219382,0,0,Ciudad Jardín,Chamartín,Private room in apartment,Private room,1.0,1.0,29.0,0,1,1,0.03,1.0
8549,28222114,0,1,Justicia,Centro,Shared room in bed and breakfast,Shared room,1.0,4.0,21.0,42,31,10,0.98,6.0
8550,28225841,0,1,Embajadores,Centro,Private room in apartment,Private room,1.0,0.0,42.0,0,2,2,0.06,1.0
8551,28232125,0,1,Timón,Barajas,Private room in apartment,Private room,1.0,1.0,49.0,0,101,1,3.18,1.0
8552,28236700,1,1,Argüelles,Moncloa - Aravaca,Private room in apartment,Private room,1.0,1.0,21.0,357,23,3,0.73,1.0
8553,28237035,0,1,Berruguete,Tetuán,Entire apartment,Entire home/apt,1.0,1.0,33.0,173,79,2,2.5,1.0
8554,28237489,1,0,Casco Histórico de Barajas,Barajas,Private room in house,Private room,1.0,1.0,33.0,43,349,1,11.67,1.0
8555,28238152,0,1,Cortes,Centro,Shared room in bed and breakfast,Shared room,1.0,6.0,21.0,180,25,10,0.79,4.0
8556,28238851,0,0,Orcasitas,Usera,Camper/RV,Entire home/apt,4.0,4.0,110.0,351,1,1,0.04,1.0
8557,28239626,0,1,Castellana,Salamanca,Entire apartment,Entire home/apt,2.0,2.0,129.0,94,114,88,3.6,1.0
8558,28239777,0,1,Justicia,Centro,Shared room in bed and breakfast,Shared room,1.0,6.0,21.0,180,15,10,0.48,4.0
8559,28239958,0,1,Justicia,Centro,Shared room in bed and breakfast,Shared room,1.0,4.0,21.0,42,18,10,0.58,4.0
8560,28241175,0,0,Universidad,Centro,Shared room in apartment,Shared room,1.0,1.0,106.0,1,1,1,0.03,1.0
8562,28242849,0,0,Embajadores,Centro,Room in hotel,Hotel room,1.0,1.0,93.0,352,20,16,0.68,1.0
8563,28243068,0,0,Embajadores,Centro,Room in hotel,Hotel room,1.0,1.0,93.0,352,1,16,1.0,1.0
8564,28243305,0,0,Embajadores,Centro,Room in hotel,Hotel room,1.0,1.0,129.0,352,0,16,0.0,1.0
8565,28243544,0,0,Embajadores,Centro,Room in hotel,Hotel room,1.0,1.0,111.0,352,1,16,0.05,1.0
8566,28243613,0,0,Embajadores,Centro,Room in hotel,Hotel room,1.0,1.0,123.0,352,1,16,0.06,1.0
8567,28243710,0,0,Embajadores,Centro,Room in hotel,Hotel room,1.0,1.0,159.0,352,1,16,0.13,1.0
8568,28243786,0,0,Embajadores,Centro,Room in hotel,Hotel room,1.0,1.0,123.0,352,0,16,0.0,1.0
8569,28243895,0,0,Embajadores,Centro,Room in hotel,Hotel room,1.0,1.0,132.0,350,0,16,0.0,1.0
8570,28243956,0,0,Embajadores,Centro,Room in hotel,Hotel room,1.0,1.0,153.0,344,0,16,0.0,1.0
8571,28244081,0,0,Embajadores,Centro,Room in hotel,Hotel room,1.0,1.0,186.0,346,0,16,0.0,1.0
8572,28244214,0,0,Embajadores,Centro,Room in hotel,Hotel room,1.0,1.0,144.0,0,0,16,0.0,1.0
8573,28244292,0,0,Embajadores,Centro,Room in hotel,Hotel room,1.0,1.0,171.0,344,0,16,0.0,1.0
8578,28245423,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,2.0,112.0,74,79,1,2.61,1.0
8579,28246094,0,1,Universidad,Centro,Entire loft,Entire home/apt,1.0,2.0,87.0,0,103,1,3.25,1.0
8580,28249073,0,1,Universidad,Centro,Entire apartment,Entire home/apt,2.0,4.0,86.0,362,73,28,2.31,1.0
8581,28253224,0,1,Lucero,Latina,Private room in apartment,Private room,1.0,1.0,22.0,348,1,8,0.11,1.5
8582,28253271,0,1,Universidad,Centro,Entire apartment,Entire home/apt,2.0,3.0,89.0,180,37,28,1.17,1.0
8583,28253502,0,1,Puerta del Angel,Latina,Private room in apartment,Private room,1.0,1.0,29.0,361,5,8,0.16,1.0
8584,28253714,0,1,Lucero,Latina,Private room in apartment,Private room,1.0,2.0,18.0,351,5,8,0.16,1.0
8585,28254492,0,1,Zofío,Usera,Private room in apartment,Private room,4.0,1.0,26.0,44,19,9,0.61,2.0
8586,28264183,0,1,Cortes,Centro,Shared room in bed and breakfast,Shared room,1.0,4.0,21.0,42,20,10,0.63,4.0
8587,28265740,0,1,Universidad,Centro,Entire condominium,Entire home/apt,1.0,2.0,68.0,180,37,28,1.17,1.0
8588,28267061,1,1,Universidad,Centro,Entire apartment,Entire home/apt,2.0,3.0,150.0,15,42,2,1.34,2.0
8589,28269412,0,1,Justicia,Centro,Private room in apartment,Private room,1.0,1.0,31.0,140,92,1,2.91,1.0
8590,28276924,0,1,Rios Rosas,Chamberí,Entire apartment,Entire home/apt,2.0,3.0,145.0,25,14,1,0.45,2.0
8591,28277572,1,1,Goya,Salamanca,Private room in apartment,Private room,1.0,1.0,82.0,0,19,1,0.6,1.0
8592,28281485,0,0,Ventas,Ciudad Lineal,Private room in apartment,Private room,1.0,1.0,16.0,226,8,1,0.25,1.0
8593,28281711,1,1,Palacio,Centro,Entire apartment,Entire home/apt,2.0,3.0,140.0,257,65,1,2.27,2.5
8594,28294421,1,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,2.0,121.0,265,62,12,1.98,1.0
8595,28295122,1,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,2.0,126.0,265,63,12,2.06,1.0
8596,28295823,1,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,2.0,126.0,1,36,12,1.15,1.0
8597,28296586,1,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,2.0,119.0,251,30,12,0.97,1.0
8599,28297452,0,1,Palacio,Centro,Entire apartment,Entire home/apt,6.0,16.0,179.0,0,46,1,1.46,2.0
8600,28298754,1,1,Palacio,Centro,Entire apartment,Entire home/apt,2.0,4.0,131.0,193,82,3,2.61,3.0
8601,28300401,0,0,El Viso,Chamartín,Entire loft,Entire home/apt,1.0,1.0,58.0,12,0,1,0.0,1.0
8602,28300557,1,1,Palacio,Centro,Entire apartment,Entire home/apt,2.0,6.0,116.0,171,75,3,2.39,2.0
8604,28302726,0,1,Opañel,Carabanchel,Entire condominium,Entire home/apt,2.0,5.0,124.0,354,1,31,0.03,2.0
8605,28305959,1,1,Palacio,Centro,Entire apartment,Entire home/apt,2.0,3.0,149.0,224,88,1,2.78,2.0
8606,28306152,0,0,Universidad,Centro,Entire serviced apartment,Entire home/apt,1.0,1.0,79.0,365,6,8,0.19,1.0
8607,28306588,0,0,Universidad,Centro,Entire apartment,Entire home/apt,1.0,4.0,136.0,320,1,8,0.04,1.0
8608,28310895,0,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,1.0,60.0,102,2,53,0.11,1.0
8609,28311594,0,1,Universidad,Centro,Entire apartment,Entire home/apt,3.0,5.0,68.0,350,103,53,3.33,1.5
8610,28312054,0,0,Universidad,Centro,Entire serviced apartment,Entire home/apt,5.0,10.0,209.0,289,13,8,0.46,2.0
8611,28322488,0,1,Castellana,Salamanca,Entire apartment,Entire home/apt,2.0,2.0,84.0,0,3,1,0.1,1.0
8612,28323311,0,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,1.0,41.0,99,77,88,2.49,1.0
8613,28324814,1,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,3.0,220.0,288,49,1,1.56,2.0
8615,28330061,1,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,1.0,87.0,320,32,2,1.15,1.0
8616,28331494,1,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,1.0,91.0,306,31,2,0.99,1.0
8617,28332678,0,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,2.0,55.0,0,16,1,0.51,1.0
8618,28335355,0,1,Comillas,Carabanchel,Entire condominium,Entire home/apt,2.0,3.0,131.0,354,5,31,0.16,2.0
8621,28341525,0,1,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,26.0,365,104,8,3.31,1.5
8622,28349715,0,0,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,3.0,77.0,0,1,1,0.04,2.0
8623,28360375,0,0,Justicia,Centro,Private room in apartment,Private room,1.0,1.0,30.0,0,6,1,0.19,1.0
8624,28361004,0,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,1.0,45.0,0,0,1,0.0,1.0
8625,28376350,0,0,Ibiza,Retiro,Private room in apartment,Private room,1.0,1.0,25.0,0,2,1,0.07,1.0
8626,28378710,1,1,Justicia,Centro,Entire apartment,Entire home/apt,2.0,2.0,85.0,179,59,1,1.9,1.0
8627,28379440,1,1,Palacio,Centro,Entire apartment,Entire home/apt,2.0,3.0,85.0,0,93,1,2.98,1.0
8629,28401415,0,1,Cortes,Centro,Private room in apartment,Private room,1.0,2.0,46.0,365,6,2,0.19,1.0
8630,28404359,0,1,Palomeras Sureste,Puente de Vallecas,Private room in apartment,Private room,1.0,2.0,59.0,83,2,1,0.06,1.5
8631,28405843,0,0,Imperial,Arganzuela,Private room in apartment,Private room,1.0,1.0,35.0,365,63,1,2.01,1.5
8632,28407635,0,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,1.0,80.0,0,7,1,0.22,1.0
8633,28420157,1,0,Justicia,Centro,Private room in apartment,Private room,1.0,1.0,75.0,0,9,1,0.29,1.0
8634,28423651,1,1,Palacio,Centro,Entire apartment,Entire home/apt,2.0,4.0,216.0,256,44,12,1.41,2.0
8635,28425382,0,0,Sol,Centro,Private room in hostel,Private room,1.0,1.0,29.0,358,3,4,0.11,1.0
8636,28425383,0,0,Cortes,Centro,Private room in hostel,Private room,1.0,1.0,37.0,360,4,4,4.0,1.0
8637,28425385,0,0,Sol,Centro,Private room in hostel,Private room,1.0,2.0,37.0,359,6,4,0.31,1.0
8638,28425390,0,0,Sol,Centro,Private room in hostel,Private room,1.0,3.0,52.0,360,1,4,0.34,1.0
8639,28427782,0,1,Delicias,Arganzuela,Entire apartment,Entire home/apt,1.0,2.0,120.0,0,20,1,0.65,1.0
8640,28428707,0,1,Valdeacederas,Tetuán,Private room in apartment,Private room,1.0,1.0,30.0,364,12,1,0.45,1.0
8642,28431345,0,1,Palos de Moguer,Arganzuela,Private room in apartment,Private room,1.0,1.0,35.0,0,49,1,1.55,1.0
8643,28436653,0,1,Delicias,Arganzuela,Entire apartment,Entire home/apt,3.0,4.0,153.0,131,69,20,2.21,2.0
8644,28436814,0,1,Palos de Moguer,Arganzuela,Entire apartment,Entire home/apt,1.0,1.0,49.0,0,7,2,0.28,1.0
8645,28447659,0,0,Valdeacederas,Tetuán,Entire apartment,Entire home/apt,1.0,2.0,96.0,180,2,1,0.14,1.0
8646,28448046,0,1,Concepción,Ciudad Lineal,Private room in apartment,Private room,1.0,2.0,50.0,90,10,1,0.35,1.0
8647,28449632,1,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,1.0,126.0,264,56,12,1.79,1.0
8648,28450660,1,1,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,40.0,257,51,3,2.05,1.0
8649,28451053,1,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,2.0,116.0,265,43,12,1.38,1.0
8650,28451512,0,1,Jerónimos,Retiro,Entire apartment,Entire home/apt,2.0,3.0,141.0,0,13,8,0.49,2.5
8651,28451687,1,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,2.0,126.0,264,74,12,2.37,1.0
8652,28452614,0,0,Ventas,Ciudad Lineal,Private room in house,Private room,1.0,0.0,25.0,16,5,1,0.26,1.0
8653,28455629,0,0,Imperial,Arganzuela,Entire apartment,Entire home/apt,2.0,3.0,85.0,288,15,1,0.5,1.0
8654,28457553,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,3.0,6.0,89.0,0,51,14,1.66,1.0
8656,28459467,0,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,2.0,80.0,257,2,4,0.07,1.0
8657,28460900,0,1,Pilar,Fuencarral - El Pardo,Private room in condominium,Private room,1.0,1.0,15.0,0,16,1,0.51,1.0
8658,28465648,0,1,Valdezarza,Moncloa - Aravaca,Private room in apartment,Private room,1.0,1.0,12.0,104,41,1,1.32,1.0
8659,28476239,0,1,Universidad,Centro,Entire apartment,Entire home/apt,2.0,2.0,101.0,332,74,2,2.38,2.0
8660,28478505,0,1,Cortes,Centro,Shared room in house,Shared room,1.0,6.0,21.0,180,8,10,0.26,4.0
8661,28479622,0,0,Aluche,Latina,Shared room in apartment,Shared room,1.0,1.0,11.0,1,1,2,0.04,1.0
8662,28482100,0,0,Numancia,Puente de Vallecas,Entire apartment,Entire home/apt,2.0,2.0,52.0,0,3,1,0.12,1.0
8663,28483456,1,1,Pacífico,Retiro,Entire apartment,Entire home/apt,1.0,2.0,107.0,269,13,1,0.42,1.0
8664,28484900,1,1,Acacias,Arganzuela,Entire apartment,Entire home/apt,1.0,1.0,53.0,124,53,1,1.7,1.0
8665,28486761,0,0,Justicia,Centro,Private room in apartment,Private room,1.0,1.0,50.0,0,16,2,0.52,1.0
8666,28487493,1,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,1.0,60.0,0,92,2,2.93,1.0
8667,28488348,1,0,Pacífico,Retiro,Private room in apartment,Private room,1.0,1.0,19.0,285,48,2,1.53,1.0
8668,28489610,0,0,Universidad,Centro,Entire apartment,Entire home/apt,1.0,3.0,86.0,364,1,8,0.03,1.0
8669,28489710,0,0,Universidad,Centro,Entire apartment,Entire home/apt,1.0,3.0,101.0,361,4,8,0.18,1.0
8670,28489747,0,0,Universidad,Centro,Entire apartment,Entire home/apt,1.0,3.0,104.0,365,0,8,0.0,1.0
8671,28489819,0,0,Universidad,Centro,Entire apartment,Entire home/apt,1.0,3.0,105.0,344,4,8,0.21,1.0
8672,28500578,1,1,Argüelles,Moncloa - Aravaca,Private room in apartment,Private room,1.0,1.0,26.0,349,16,3,0.51,1.0
8673,28508891,0,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,2.0,58.0,255,37,1,1.2,1.0
8674,28510478,0,1,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,18.0,84,168,3,5.38,1.0
8675,28511722,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,2.0,3.0,121.0,104,50,2,1.61,2.0
8676,28512633,0,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,1.0,96.0,1,12,1,0.39,1.0
8677,28514297,1,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,2.0,167.0,289,4,62,0.16,1.0
8678,28515847,0,1,Sol,Centro,Private room in apartment,Private room,1.0,1.0,40.0,0,9,3,0.29,1.0
8679,28521901,0,1,Cortes,Centro,Entire apartment,Entire home/apt,1.0,2.0,78.0,249,73,18,2.33,1.0
8680,28528745,1,1,Pinar del Rey,Hortaleza,Private room in house,Private room,1.0,1.0,30.0,364,1,2,0.06,1.0
8681,28530059,1,1,Puerta del Angel,Latina,Entire apartment,Entire home/apt,1.0,2.0,46.0,21,107,1,3.4,1.0
8682,28530174,0,0,Embajadores,Centro,Entire apartment,Entire home/apt,3.0,4.0,172.0,0,0,1,0.0,1.0
8683,28532674,0,1,Sol,Centro,Private room in apartment,Private room,1.0,1.0,60.0,90,17,3,0.54,2.0
8686,28538481,0,1,Universidad,Centro,Room in serviced apartment,Hotel room,1.0,1.0,88.0,0,6,15,0.2,1.5
8687,28550267,1,0,Palomeras Sureste,Puente de Vallecas,Private room in apartment,Private room,1.0,1.0,19.0,58,13,1,0.51,1.0
8688,28550596,0,0,Pacífico,Retiro,Entire apartment,Entire home/apt,1.0,2.0,105.0,177,3,1,0.1,1.0
8689,28552407,0,0,Ventas,Ciudad Lineal,Private room in apartment,Private room,1.0,1.0,16.0,0,72,2,2.33,1.0
8690,28559480,1,1,Universidad,Centro,Entire condominium,Entire home/apt,3.0,3.0,124.0,0,43,1,1.42,2.0
8691,28560504,0,0,Ventas,Ciudad Lineal,Private room in apartment,Private room,1.0,1.0,16.0,0,30,2,0.96,1.0
8693,28576857,0,1,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,43.0,0,58,1,1.87,1.0
8694,28582649,0,0,Casco Histórico de Barajas,Barajas,Entire loft,Entire home/apt,1.0,1.0,70.0,89,5,1,0.3,1.0
8697,28591986,0,1,Palacio,Centro,Private room in apartment,Private room,2.0,2.0,55.0,0,3,1,0.1,1.0
8698,28593752,0,1,Aluche,Latina,Entire apartment,Entire home/apt,2.0,3.0,55.0,51,33,1,1.07,1.0
8699,28593906,0,1,Valdefuentes,Hortaleza,Entire condominium,Entire home/apt,1.0,1.0,101.0,133,16,4,0.52,1.0
8700,28595057,0,1,Universidad,Centro,Entire apartment,Entire home/apt,2.0,4.0,98.0,207,58,24,1.89,1.0
8701,28595202,0,1,Alameda de Osuna,Barajas,Camper/RV,Entire home/apt,1.0,5.0,143.0,364,0,6,0.0,1.0
8702,28597308,0,0,Almagro,Chamberí,Entire apartment,Entire home/apt,1.0,3.0,75.0,115,29,1,0.94,1.0
8703,28606014,1,0,Casco Histórico de Vallecas,Villa de Vallecas,Entire apartment,Entire home/apt,2.0,3.0,59.0,74,57,1,1.83,1.0
8704,28606738,1,1,Pacífico,Retiro,Private room in apartment,Private room,1.0,1.0,48.0,179,64,1,2.08,1.0
8708,28624437,0,1,Moscardó,Usera,Private room in condominium,Private room,4.0,1.0,16.0,77,25,9,0.81,2.0
8709,28624466,1,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,2.0,116.0,265,26,12,0.84,1.0
8710,28624896,0,1,Moscardó,Usera,Private room in condominium,Private room,4.0,2.0,16.0,85,7,9,0.23,2.0
8711,28624972,1,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,2.0,116.0,265,38,12,1.24,1.0
8712,28625075,0,1,Moscardó,Usera,Private room in apartment,Private room,4.0,1.0,26.0,14,6,9,0.19,2.0
8713,28628093,0,1,Puerta del Angel,Latina,Entire apartment,Entire home/apt,2.0,4.0,122.0,176,25,7,0.81,1.0
8714,28631895,0,0,Lista,Salamanca,Entire apartment,Entire home/apt,2.0,3.0,165.0,0,2,1,0.07,2.0
8715,28632134,1,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,2.0,130.0,172,4,10,0.15,1.0
8717,28649852,0,1,Palacio,Centro,Entire apartment,Entire home/apt,2.0,3.0,46.0,67,69,1,2.25,1.0
8718,28651083,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,1.0,59.0,253,52,24,1.69,1.0
8721,28655364,0,1,Cortes,Centro,Entire apartment,Entire home/apt,2.0,2.0,154.0,289,2,12,0.1,1.0
8722,28658453,0,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,2.0,116.0,276,73,13,2.34,1.0
8723,28658792,1,1,Palacio,Centro,Private room in apartment,Private room,1.0,1.0,36.0,230,8,7,0.56,1.5
8725,28666544,0,1,Jerónimos,Retiro,Entire apartment,Entire home/apt,1.0,2.0,110.0,359,12,3,0.4,1.5
8726,28667528,0,1,Jerónimos,Retiro,Entire apartment,Entire home/apt,1.0,3.0,130.0,105,3,3,0.12,1.5
8727,28677663,0,0,Prosperidad,Chamartín,Entire apartment,Entire home/apt,1.0,2.0,54.0,358,3,2,0.12,1.0
8728,28683336,0,1,Universidad,Centro,Shared room in hostel,Shared room,1.0,2.0,36.0,5,3,9,0.13,1.0
8729,28683435,0,1,Universidad,Centro,Shared room in hostel,Shared room,1.0,4.0,34.0,3,19,9,0.65,1.0
8730,28683485,1,1,Valdezarza,Moncloa - Aravaca,Private room in apartment,Private room,1.0,2.0,22.0,90,62,1,2.0,1.5
8731,28686566,0,0,El Viso,Chamartín,Entire apartment,Entire home/apt,1.0,1.0,60.0,0,3,1,0.1,1.0
8732,28693149,0,0,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,33.0,0,11,1,0.35,1.0
8733,28702596,0,1,Universidad,Centro,Shared room in hostel,Shared room,1.0,6.0,31.0,4,23,9,0.87,0.0
8734,28702735,0,1,Universidad,Centro,Shared room in hostel,Shared room,1.0,6.0,32.0,3,5,9,0.17,1.0
8735,28703212,0,1,Universidad,Centro,Private room in hostel,Private room,1.0,1.0,40.0,4,2,9,0.09,0.0
8736,28703280,0,1,Universidad,Centro,Shared room in hostel,Shared room,1.0,8.0,31.0,5,6,9,0.27,1.0
8737,28703295,0,1,Universidad,Centro,Private room in hostel,Private room,1.0,1.0,45.0,4,1,9,0.07,1.0
8738,28703315,0,1,Universidad,Centro,Private room in hostel,Private room,1.0,1.0,100.0,5,1,9,0.03,1.0
8739,28703353,0,1,Universidad,Centro,Shared room in hostel,Shared room,1.0,0.0,30.0,1,237,9,7.69,1.0
8741,28710478,0,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,2.0,53.0,279,105,1,3.37,1.0
8742,28712443,1,1,Castilla,Chamartín,Entire house,Entire home/apt,3.0,4.0,90.0,104,7,1,0.25,2.0
8743,28714073,0,0,Palos de Moguer,Arganzuela,Private room in apartment,Private room,1.0,1.0,27.0,0,8,1,0.26,1.0
8744,28728998,0,0,Chopera,Arganzuela,Private room in apartment,Private room,1.0,1.0,17.0,234,66,2,2.14,1.5
8745,28732217,1,1,Corralejos,Barajas,Private room in townhouse,Private room,1.0,1.0,22.0,291,134,2,4.7,1.0
8746,28733310,0,0,Recoletos,Salamanca,Private room in apartment,Private room,1.0,1.0,25.0,358,14,2,0.45,1.0
8747,28733769,0,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,1.0,77.0,0,73,12,2.39,1.0
8748,28747149,1,1,Concepción,Ciudad Lineal,Private room in apartment,Private room,1.0,1.0,30.0,89,16,1,0.52,1.0
8749,28748968,0,1,Gaztambide,Chamberí,Private room in apartment,Private room,1.0,1.0,16.0,0,21,1,0.71,1.0
8750,28754959,0,1,Butarque,Villaverde,Private room in apartment,Private room,1.0,1.0,15.0,0,108,2,4.0,1.5
8751,28754985,0,1,Casco Histórico de Vallecas,Villa de Vallecas,Private room in apartment,Private room,1.0,1.0,143.0,365,5,3,0.16,1.0
8753,28771429,0,1,Casco Histórico de Vallecas,Villa de Vallecas,Private room in apartment,Private room,1.0,1.0,64.0,365,1,3,0.04,1.0
8754,28773808,1,1,Recoletos,Salamanca,Room in boutique hotel,Hotel room,1.0,1.0,85.0,267,9,4,1.46,1.0
8755,28776737,0,1,Universidad,Centro,Entire apartment,Entire home/apt,1.0,1.0,80.0,0,7,1,0.24,1.0
8756,28777573,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,1.0,1.0,168.0,0,0,6,0.0,1.0
8757,28777906,0,1,Alameda de Osuna,Barajas,Private room in condominium,Private room,1.0,1.0,40.0,180,6,1,0.2,1.0
