,id,host_is_superhost,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,bedrooms,beds,price,availability_365,number_of_reviews,calculated_host_listings_count,reviews_per_month,bathrooms
6219,21747592,0,0,Pacífico,Retiro,Private room in apartment,Private room,1.0,1.0,18.0,0,2,2,0.05,1.0
6220,21749346,1,0,Embajadores,Centro,Entire apartment,Entire home/apt,3.0,3.0,200.0,0,37,1,0.93,1.0
6221,21749942,0,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,3.0,45.0,362,134,5,3.23,1.0
6222,21756845,0,1,Universidad,Centro,Entire apartment,Entire home/apt,2.0,4.0,85.0,242,92,3,2.58,2.0
6223,21758630,0,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,1.0,110.0,77,6,8,0.16,1.0
6224,21758753,0,1,Universidad,Centro,Private room in apartment,Private room,1.0,1.0,40.0,179,8,2,0.2,1.0
6225,21760361,1,0,Lucero,Latina,Private room in apartment,Private room,1.0,2.0,27.0,75,97,1,2.34,1.0
6226,21762182,1,1,Sol,Centro,Entire apartment,Entire home/apt,1.0,2.0,83.0,0,31,3,0.81,1.0
6227,21763431,1,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,2.0,89.0,0,42,3,1.91,1.0
6228,21764635,0,1,Almenara,Tetuán,Private room in house,Private room,1.0,2.0,19.0,0,5,1,0.12,2.0
6229,21765308,1,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,3.0,86.0,165,104,5,2.55,1.0
