,id,host_is_superhost,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,bedrooms,beds,price,availability_365,number_of_reviews,calculated_host_listings_count,reviews_per_month,bathrooms,puntuacion_media
13698,39241259,1,1,Jerónimos,Retiro,Entire apartment,Entire home/apt,2.0,3.0,133.0,205,26,19,1.53,2.0,4.714285714285714
13699,39241481,1,1,Jerónimos,Retiro,Entire apartment,Entire home/apt,2.0,3.0,133.0,238,9,19,0.51,2.0,4.571428571428571
13700,39241798,1,1,Jerónimos,Retiro,Entire apartment,Entire home/apt,2.0,3.0,145.0,77,8,19,0.45,2.0,4.833333333333333
13702,39243292,0,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,1.0,63.0,320,36,4,1.97,1.0,4.36
13705,39249261,0,0,Numancia,Puente de Vallecas,Private room in apartment,Private room,1.0,1.0,19.0,0,12,2,0.65,1.0,4.545454545454546
13706,39250733,1,1,Justicia,Centro,Entire apartment,Entire home/apt,1.0,2.0,44.0,104,99,2,5.66,1.0,4.741176470588235
13707,39252380,0,1,Numancia,Puente de Vallecas,Entire apartment,Entire home/apt,2.0,3.0,63.0,0,15,3,0.85,1.0,4.909090909090909
13710,39263406,0,1,Chopera,Arganzuela,Entire apartment,Entire home/apt,2.0,4.0,65.0,0,21,2,1.17,1.0,4.583333333333333
13711,39263430,0,1,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,68.0,365,3,1,0.17,1.0,5.0
13713,39264213,0,0,Numancia,Puente de Vallecas,Private room in house,Private room,1.0,1.0,18.0,119,9,3,0.5,1.0,3.857142857142857
13715,39268546,0,0,Cortes,Centro,Private room in apartment,Private room,1.0,0.0,20.0,263,4,1,0.23,2.0,4.0
13716,39269066,0,0,Abrantes,Carabanchel,Private room in house,Private room,1.0,1.0,15.0,354,7,1,0.39,1.0,5.0
13719,39286624,0,0,Pradolongo,Usera,Private room in house,Private room,1.0,1.0,20.0,365,17,1,0.92,1.0,4.625
13720,39287011,0,0,Argüelles,Moncloa - Aravaca,Entire apartment,Entire home/apt,1.0,1.0,115.0,87,2,1,0.11,1.0,5.0
13722,39288347,1,0,Imperial,Arganzuela,Entire apartment,Entire home/apt,2.0,2.0,155.0,179,12,1,0.65,2.0,4.818181818181818
13725,39294434,0,0,Guindalera,Salamanca,Private room in townhouse,Private room,1.0,1.0,49.0,365,2,1,0.11,1.0,4.0
13726,39295949,0,1,Universidad,Centro,Entire apartment,Entire home/apt,2.0,2.0,180.0,364,2,1,0.11,1.0,4.5
13728,39298196,0,0,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,38.0,0,1,1,0.06,1.0,5.0
13729,39299165,0,1,Palacio,Centro,Entire apartment,Entire home/apt,1.0,1.0,38.0,194,16,18,0.9,1.5,4.3
13733,39315747,0,1,Almenara,Tetuán,Private room in apartment,Private room,1.0,1.0,20.0,43,20,1,1.16,1.5,4.823529411764706
13735,39318826,1,1,Cuatro Caminos,Tetuán,Entire apartment,Entire home/apt,1.0,1.0,80.0,238,9,45,0.5,1.5,4.8
13736,39325326,1,1,Alameda de Osuna,Barajas,Private room in apartment,Private room,1.0,2.0,33.0,365,7,2,0.39,1.0,4.666666666666667
13739,39334340,0,1,Valverde,Fuencarral - El Pardo,Private room in apartment,Private room,1.0,0.0,20.0,365,7,1,0.39,1.5,3.857142857142857
13740,39335277,0,0,Peñagrande,Fuencarral - El Pardo,Private room in apartment,Private room,1.0,1.0,15.0,0,16,1,0.88,1.0,4.4
13742,39339139,0,0,Cortes,Centro,Entire apartment,Entire home/apt,2.0,2.0,109.0,90,5,2,0.29,1.0,4.6
13745,39349734,0,1,Entrevías,Puente de Vallecas,Private room in house,Private room,1.0,2.0,13.0,1,6,1,0.34,1.0,4.0
13746,39350327,0,1,Fuente del Berro,Salamanca,Private room in house,Private room,2.0,2.0,71.0,85,8,1,0.45,1.0,4.75
13747,39351113,0,1,Palacio,Centro,Entire apartment,Entire home/apt,2.0,2.0,64.0,0,9,1,0.5,1.0,5.0
13748,39352054,0,0,Cortes,Centro,Room in hotel,Private room,1.0,3.0,193.0,248,1,2,0.06,1.0,4.0
13749,39353725,0,1,Puerta del Angel,Latina,Private room in apartment,Private room,1.0,1.0,28.0,90,4,1,0.24,1.0,4.5
13750,39353852,0,1,Prosperidad,Chamartín,Entire apartment,Entire home/apt,1.0,2.0,100.0,146,19,7,1.08,1.0,4.533333333333333
13751,39357257,0,0,Imperial,Arganzuela,Entire apartment,Entire home/apt,2.0,2.0,110.0,365,4,2,0.22,1.0,4.0
13752,39357326,1,1,Arapiles,Chamberí,Entire apartment,Entire home/apt,1.0,1.0,60.0,163,3,6,0.18,1.0,4.666666666666667
13753,39358129,0,1,Casco Histórico de Vicálvaro,Vicálvaro,Private room in apartment,Private room,1.0,1.0,29.0,0,3,1,0.18,1.0,5.0
13754,39359797,0,1,Palacio,Centro,Entire apartment,Entire home/apt,2.0,2.0,127.0,365,8,7,0.44,1.0,3.6666666666666665
13755,39361390,1,1,Gaztambide,Chamberí,Entire apartment,Entire home/apt,1.0,2.0,60.0,241,8,6,0.44,1.0,4.571428571428571
13756,39363275,0,1,Concepción,Ciudad Lineal,Private room in apartment,Private room,1.0,1.0,85.0,89,2,1,0.11,1.0,4.5
13757,39365098,0,1,Imperial,Arganzuela,Entire house,Entire home/apt,2.0,2.0,110.0,0,2,2,0.11,2.0,5.0
13758,39370658,0,1,Los Rosales,Villaverde,Private room in apartment,Private room,1.0,3.0,22.0,16,5,13,0.29,1.0,5.0
